distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(170, 180]"
"(0, 10]",2417,2961,1083,514,1620,1744,1483,846,239,1039,1943,3971,3567,3763,1415,100
"(10, 20]",2957,2336,1146,730,1397,2297,2089,888,435,1064,2242,3195,3546,4451,1524,61
"(20, 30]",6089,5049,1933,1170,1820,2947,2181,922,677,1331,3257,4395,4702,5671,2764,108
"(30, 40]",11354,9094,4374,1207,2693,3518,2901,1408,923,2020,4182,6490,7167,7566,3261,139
"(40, 50]",17194,13038,4124,1712,3457,4596,4043,2154,869,2342,4696,8411,8714,7603,2964,122
"(50, 60]",19967,19116,6669,1982,4572,5690,4451,2364,1339,3180,6227,8465,7857,7574,3296,127
"(60, 70]",30268,26525,8316,2309,4806,5508,5354,2908,2019,3440,6242,10182,9201,10115,3290,214
"(70, 80]",24458,24632,6258,1909,3571,4952,4494,2542,1222,3001,7172,9031,9140,8987,4287,135
"(80, 90]",29791,30483,8519,2016,5272,4846,4676,2235,1514,3734,7201,10124,11874,10409,4086,492
"(90, 100]",28552,24113,6986,1769,3530,4239,4046,2377,1228,3574,6960,9907,9847,10503,3606,150
"(100, 110]",21333,15878,5032,1239,2723,3473,3258,1766,1109,3416,6496,9680,9977,10075,3545,131
"(110, 120]",18493,15727,4996,1240,2865,3679,3387,1794,1383,2899,6478,9008,9610,9373,3606,147
"(120, 130]",18388,16489,5527,1225,2462,2388,2976,1515,871,2854,7460,9023,9486,9207,3729,175
"(130, 140]",17394,17681,5828,1202,2164,2541,3251,2135,1008,2869,6571,8697,9468,8976,3219,143
"(140, 150]",13781,14553,4680,994,2207,2222,1914,1641,1097,2516,6319,8216,8464,8583,3660,74
"(150, 160]",10074,13469,4874,690,1866,1358,1458,1435,952,2122,5672,7045,6816,6977,2857,98
"(160, 170]",8595,9423,3668,694,1608,1458,1376,1026,736,1654,4444,5527,6336,5592,2723,147
"(170, 180]",9158,7623,3531,702,1145,971,1343,973,684,1544,4321,5651,6159,5683,2185,130
"(180, 190]",8307,7438,3269,801,918,1089,1179,850,517,1278,3643,4576,5060,4883,1777,54
"(190, 200]",5034,5195,1730,392,555,433,501,666,283,793,1918,2555,3065,2804,1069,14
"(200, 210]",1374,1871,795,126,131,142,155,433,63,492,1036,1138,1417,1279,485,3
"(210, 220]",293,363,293,25,32,27,92,74,18,84,296,249,196,230,91,8
"(220, 230]",21,32,44,0,1,14,1,6,2,5,7,24,18,19,7,0
"(230, 240]",4,3,0,0,0,0,0,0,0,16,1,3,1,1,0,0
"(250, 260]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"(280, 290]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
